id_news,event,category,address,latitud,longitud
53.421.181,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.878.712,guitarristas ofrecerán,entretenimiento,"Sala SCD Plaza Egaña, La Reina, Chile",,
53.412.225,Gobierno suspendió,educacion,"Gobierno, Algarrobo, Chile",,
53.558.369,delegado refirió,economia,"Teatro Caupolicán, Chile",-33.4562166,-70.64923855
53.877.607,adolescentes arrestados,ciencia,"Pichicautín, Chile",-38.7455569,-72.5985394
53.560.642,lluvias esperan,tecnologia,"Atacama, Los Lagos, Chile",-40.5658867,-73.1611137
53.561.872,incendio destruyó,accidentes,"Conchalí, Chile",-33.38432335,-70.67473821073702
53.412.031,grupo presentaron,economia,"Renovación Nacional, Chile",-41.47029835,-72.9391994
53.598.423,ministro abordó,tecnologia,"Segpres, Talca, Chile",,
53.409.706,que apoyará,economia,"Conadi, Venezuela",,
53.561.077,una comunicó,economia,"Eurocentro, Santiago, Chile",-33.442100100000005,-70.65030385455051
53.555.547,piloto retomó,entretenimiento,"Europa, Chile",-34.1582586,-70.7083488
53.627.438,Claudio anunció,deportes,"Betis, España",36.0907717,-5.7176194
53.557.534,ministra reiteró,ciencia,"Interior, Chile",-32.4329388,-71.2089735
53.425.077,deportista tuvo,entretenimiento,", Corea del Sur",36.638392,127.6961188
53.709.633,cantante aseguró,entretenimiento,"“, Chile",-31.7613365,-71.3187697
53.620.188,No se pudo extraer el evento,tecnologia,", Chile",-31.7613365,-71.3187697
53.567.774,que azotó,medio_ambiente,"Cientos, Santiago, Chile",,
53.554.241,establecimientos participaron,educacion,"Puerto Cordillera, Andacollo, Italia",,
53.421.701,cantante tenía,entretenimiento,"Viena, Austria",48.2083537,16.3725042
53.410.525,capitán agradeció,deportes,"capitán granate agradeció, Chile",,
53.877.078,Museo invita,tecnologia,"Museo de Bomberos de Santiago, Chile",-33.4362529,-70.6509728
53.554.036,ÚNETE,salud,"Centro, Chile",-35.3319608,-72.4118128
53.878.656,llegar,entretenimiento,"Los Vikings, Talcahuano, Chile",,
53.420.979,panel dijo,medio_ambiente,"votación, Venezuela",10.1376441,-68.0539128
53.011.395,instalar,ciencia,"Clínica Las Condes, La Reina, Chile",,
53.691.662,proyecto dio,economia,"Concepción, Santiago, Chile",-33.6095976,-70.8710339
53.413.493,ministro confirmó,economia,"Constitución del Senado, Santiago, Chile",,
